"Show only orders of the current store","Zeige nur Bestellungen des aktuellen Stores an"
"Shows only orders of the current store in ""My Account""->""Dashboard"" and ""MyAccount""->""Order History""","Zeigt nur Bestellungen des aktuellen Stores in den Bereichen ""Mein Konto""->""Übersicht"" und ""Mein Konto""->""Order History"" an."
"Stores to share orders","Stores die sich die Bestellungen teilen"
